ma_xa,ten_xa,ma_huyen,ma_tinh,am_name,am_phone,buu_cuc_ma,buu_cuc_ten,nhan_vien,sl_lay,sl_giao
12241,Xã Đồng Tiến,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12259,Xã Đông Ninh,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12220,Xã Ông Đình,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12277,Xã Nhuế Dương,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12262,Xã Đại Tập,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12232,Xã Đông Kết,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12271,Xã Chí Minh,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12247,Xã Tân Châu,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12271,Xã Thuần Hưng,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12256,Xã Việt Hòa,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12253,Xã Phùng Hưng,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12205,Thị trấn Khoái Châu,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12046,Xã Thắng Lợi,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12211,Xã Bình Minh,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12307,Xã Nhân La,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12322,Xã Ngọc Thanh,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12283,Xã Nghĩa Dân,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12292,Xã Phạm Ngũ Lão,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
30034,Xã Phú Thọ,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12289,Xã Vĩnh Xá,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12310,Xã Phú Thịnh,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12031,Xã Nghĩa Trụ,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12286,Xã Toàn Thắng,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12043,Xã Tân Tiến,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12217,Xã Hàm Tử,,,,,22523000,Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,,,
12313,Xã Mai Động,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12319,Xã Hùng An,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12304,Xã Chính Nghĩa,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
27169,Xã Diên Hồng,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12028,Xã Phụng Công,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12025,Xã Cửu Cao,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12328,Xã Hiệp Cường,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12325,Xã Vũ Xá,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12034,Xã Long Hưng,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12049,Xã Mễ Sở,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12022,Xã Xuân Quan,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12280,Thị trấn Lương Bằng,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12298,Xã Đồng Thanh,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12037,Xã Vĩnh Khúc,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12019,Thị trấn Văn Giang,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12316,Xã Đức Hợp,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12295,Xã Thọ Vinh,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12301,Xã Song Mai,,,,,20133000,Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,,,
12730,Xã Nguyên Xá,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12700,Xã An Châu,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13255,Xã Vũ Hội,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13201,Xã Xuân Hòa,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13204,Xã Hiệp Hòa,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13195,Xã Hồng Lý,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12688,Thị trấn Đông Hưng,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12775,Xã Đông Động,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13240,Xã Tân Lập,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12718,Xã Đông La,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13228,Xã Minh Khai,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13267,Xã Vũ Vinh,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12040,Xã Liên Nghĩa,,,,,21496000,Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,,,
12814,Xã Hồng Bạch,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12748,Xã Đông Kinh,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13276,Xã Vũ Vân,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13231,Xã Dũng Nghĩa,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
25363,Xã Đồng Phú,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12745,Xã Đông Quan,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12733,Xã Phong Châu,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13210,Xã Tân Phong,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13243,Xã Bách Thuận,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13213,Xã Song Lãng,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13207,Xã Phúc Thành,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12721,Xã Minh Tân,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12724,Xã Đông Xá,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12727,Xã Chương Dương,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12784,Xã Trọng Quan,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12796,Xã Đông Quang,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12751,Xã Đông Hợp,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13252,Xã Trung An,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12697,Xã Liên Giang,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13222,Xã Minh Lãng,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12757,Xã Đông Các,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12772,Xã Đông Vinh,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13192,Thị trấn Vũ Thư,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12709,Xã Phú Lương,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12715,Xã Lô Giang,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12736,Xã Hợp Tiến,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
23074,Xã Đông Giang,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12790,Xã Hồng Giang,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13237,Xã Tam Quang,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13234,Xã Minh Quang,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12706,Xã Đông Cường,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13219,Xã Việt Hùng,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12805,Xã Liên Hoa,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12742,Xã Minh Phú,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12799,Xã Đông Xuân,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13282,Xã Hồng Phong,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13270,Xã Vũ Đoài,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12781,Xã Hà Giang,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13198,Xã Đồng Thanh,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12691,Xã Đô Lương,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
19333,Xã Đông Hà,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
14329,Xã Hoa Lư,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13264,Xã Việt Thuận,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13279,Xã Duy Nhất,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13246,Xã Tự Tân,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
11989,Xã Lạc Đạo,,,,,21019000,Bưu Cục Thôn Đại Từ-Văn Lâm-Hưng Yên,,,
12007,Xã Minh Hải,,,,,21019000,Bưu Cục Thôn Đại Từ-Văn Lâm-Hưng Yên,,,
12760,Xã Phú Châu,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13216,Xã Tân Hòa,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
11998,Xã Việt Hưng,,,,,21019000,Bưu Cục Thôn Đại Từ-Văn Lâm-Hưng Yên,,,
12010,Xã Lương Tài,,,,,21019000,Bưu Cục Thôn Đại Từ-Văn Lâm-Hưng Yên,,,
12703,Xã Đông Sơn,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12808,Xã Đông Hoàng,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12694,Xã Đông Phương,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13258,Xã Hòa Bình,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13249,Xã Song An,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
11995,Xã Đại Đồng,,,,,21019000,Bưu Cục Thôn Đại Từ-Văn Lâm-Hưng Yên,,,
12739,Xã Hồng Việt,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
11473,Xã Bạch Đằng,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12769,Xã Đông Tân,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12802,Xã Đông Á,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
11992,Xã Chỉ Đạo,,,,,21019000,Bưu Cục Thôn Đại Từ-Văn Lâm-Hưng Yên,,,
17476,Xã Minh Châu,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
11980,Xã Hồng Châu,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12811,Xã Đông Dương,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12712,Xã Mê Linh,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
12526,Xã An Ấp,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12754,Xã Thăng Long,,,,,1515,Bưu Cục Đông Hưng-Thái Bình,,,
13273,Xã Vũ Tiến,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
13261,Xã Nguyên Xá,,,,,21069000,Bưu Cục Minh Khai-Vũ Thư-Thái Bình,,,
12565,Xã An Vinh,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12574,Xã Đông Hải,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12568,Xã Quỳnh Xá,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12394,Xã Minh Tân,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12397,Xã Phan Sào Nam,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12430,Xã Tống Trân,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12412,Xã Đình Cao,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12418,Xã Tiền Tiến,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12421,Xã Tam Đa,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12406,Xã Đoàn Đào,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12427,Xã Nguyên Hòa,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12391,Thị trấn Trần Cao,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12400,Xã Quang Hưng,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12403,Xã Minh Hoàng,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12424,Xã Minh Tiến,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12409,Xã Tống Phan,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12559,Xã An Mỹ,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12577,Xã Quỳnh Trang,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12502,Xã An Cầu,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12571,Xã An Dục,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12514,Xã An Ninh,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12550,Xã An Lễ,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12538,Xã An Quí,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12541,Xã An Thanh,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12523,Thị trấn An Bài,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12583,Xã Đồng Tiến,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12580,Xã An Tràng,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12415,Xã Nhật Quang,,,,,22078000,Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên,,,
12475,Xã An Khê,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12136,Xã Ngọc Lâm,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12103,Phường Bần Yên Nhân,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12139,Xã Hưng Long,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12448,Phường Phú Khánh,,,,,22476000,Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,,,
12115,Xã Hòa Phong,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12133,Xã Xuân Dục,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12547,Xã An Vũ,,,,,22671000,Bưu Cục Thôn Vũ Hạ-Xã Phụ Dực-Thái Bình,,,
12472,Thị trấn Quỳnh Côi,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12493,Xã Quỳnh Hoàng,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12520,Xã Quỳnh Hải,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12562,Xã Quỳnh Nguyên,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12478,Xã An Đồng,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12484,Xã Quỳnh Lâm,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12529,Xã Quỳnh Hội,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12535,Xã Quỳnh Mỹ,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12553,Xã Quỳnh Hưng,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12544,Xã Châu Sơn,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12490,Xã An Hiệp,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12452,Phường Trần Hưng Đạo,,,,,22476000,Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,,,
12499,Xã An Thái,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12517,Xã Quỳnh Ngọc,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12463,Xã Phú Xuân,,,,,22476000,Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,,,
12481,Xã Quỳnh Hoa,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12508,Xã Quỳnh Khê,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12496,Xã Quỳnh Giao,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12445,Phường Quang Trung,,,,,22476000,Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,,,
12556,Xã Quỳnh Bảo,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12130,Xã Phùng Chí Kiên,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12466,Xã Vũ Phúc,,,,,22476000,Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,,,
12487,Xã Quỳnh Thọ,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
17170,Xã Quỳnh Sơn,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12505,Xã Quỳnh Hồng,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12439,Phường Đề Thám,,,,,22476000,Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,,,
12112,Xã Dương Quang,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12118,Xã Nhân Hòa,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12109,Xã Cẩm Xá,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12160,Xã Vân Du,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12106,Xã Phan Đình Phùng,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12124,Xã Bạch Sam,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12121,Xã Dị Sử,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12127,Xã Minh Đức,,,,,20148000,Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,,,
12148,Xã Bắc Sơn,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12511,Xã Quỳnh Minh,,,,,20623000,Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,,,
12163,Xã Quang Vinh,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12184,Xã Nguyễn Trãi,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12169,Xã Hoàng Hoa Thám,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12172,Xã Quảng Lãng,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12199,Xã Hồng Quang,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12157,Xã Tân Phúc,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12166,Xã Xuân Trúc,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12154,Xã Đào Dương,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
12145,Xã Phù Ủng,,,,,21459000,Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,,,
